Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Napleton CDJR,"4951 Veterans Memorial Pkwy Saint Peters, MO 63376-1652","Napleton's Mid Rivers Chrysler Dodge Jeep RAM, 4951, Veterans Memorial Parkway, Saint Peters, Saint Charles County, Missouri, 63376, United States of America",38.7966545,-90.5895444,Local,,,0,0
Napleton Honda,"4780 N Service Rd St. Peters, MO 63376","Ed Napleton Honda St. Peters, 4780, North Service Road, Saint Peters, Saint Charles County, Missouri, 63376, United States",38.7993663,-90.5997148,Local,,,0,2
Napleton Hyundai,"649 Dunn Rd Hazelwood, MO 63042","649, Dunn Road, Hazelwood, Saint Louis County, Missouri, 63042, United States of America",38.78116,-90.36505,Local,,,0,0
Napleton KIA,"4955 Veterans Memorial Parkway, St. Peters, MO 63376, USA","Napleton's Mid Rivers Kia, 4955, Veterans Memorial Parkway, Saint Peters, Saint Charles County, Missouri, 63376, United States of America",38.7966914,-90.5906118,Local,,,0,0
Napleton Maserati,"4953 Veterans Memorial Parkway St. Peters, MO 63376","Napleton Mid Rivers Maserati, 4953, Veterans Memorial Parkway, Saint Peters, Saint Charles County, Missouri, 63376, United States",38.7968353,-90.5897783,Local,,,0,0
Napleton Nissan,"10964 Page Ave, St. Louis, MO 63132","10964, Page Avenue, Ascalon, Saint Louis County, Missouri, 63132, United States of America",38.6953606,-90.4040123,Local,,,0,2
Napleton Off-Lease,"4798 N Service Rd, St. Peters, MO 63376, USA","4798, North Service Road, Saint Peters, Saint Charles County, Missouri, 63376, United States",38.7994762,-90.6029963,Local,,,0,1
O'Brien Nissan of Bloomington,"2029 Ireland Grove Rd, Bloomington, IL 61704","2029, Ireland Grove Road, Bloomington, McLean County, Illinois, 61704, United States of America",40.459319,-88.966183,,,,0,1
O'Fallon Buick GMC,"2150 Technology Dr, O'Fallon, MO 63368","2150, Technology Drive, O’Fallon, Saint Charles County, Missouri, 63368, United States of America",38.7458105,-90.7485362,Local,,,0,3
Oakes KIA,"2900 Burlington St, North Kansas City, MO 64116, USA","2900, Burlington Street, North Kansas City, Clay County, Missouri, 64116, United States of America",39.150512,-94.58048,,,,0,0
Olathe Ford Lincoln,"1845 E Santa Fe St, Olathe, KS 66062, USA","Olathe Ford Lincoln, 1845, East Santa Fe Street, Olathe, Johnson County, Kansas, 66062, United States of America",38.8830751,-94.7856679,,,,0,0
Pappas Toyota,"10011 Spencer Rd, St Peters, MO 63376","Pappas Toyota, 10011, Spencer Road, Saint Peters, Saint Charles County, Missouri, 63376, United States",38.8004582,-90.6018787,Local,ShortCut Pack,Custom,0,14
